Name,Location,Ratings,Category,Category Details,Points,Pricing
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング（禁煙）,ダブル 45平米,ポイント15%分利用で,"86,020円～2名税込 73,120円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング（禁煙）,ダブル 45平米,ポイント23%分利用+割引で,"140,668円～朝食付 2名税込 94,253円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング（禁煙）,ダブル 45平米,ポイント20%分利用+割引で,"170,178円～夕食付 2名税込 118,455円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング with バルコニー（禁煙）,ダブル 45平米,ポイント20%分利用+割引で,"129,030円～2名税込 98,079円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング with バルコニー（禁煙）,ダブル 45平米,ポイント23%分利用+割引で,"163,438円～朝食付 2名税込 109,509円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスキング with バルコニー（禁煙）,ダブル 45平米,ポイント20%分利用+割引で,"192,870円～夕食付 2名税込 134,257円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスツイン with バルコニー（禁煙）,ツイン 45平米,ポイント20%分利用+割引で,"129,030円～2名税込 98,079円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスツイン with バルコニー（禁煙）,ツイン 45平米,ポイント23%分利用+割引で,"163,438円～朝食付 2名税込 109,509円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,デラックスツイン with バルコニー（禁煙）,ツイン 45平米,ポイント20%分利用+割引で,"192,870円～夕食付 2名税込 134,257円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,グランドデラックスツイン（禁煙）,ツイン 55平米,ポイント15%分利用で,"137,886円～2名税込 117,216円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,クラブデラックスキング with バルコニー（禁煙）,ダブル 45平米,ポイント23%分利用+割引で,"178,366円～朝食付 2名税込 119,506円～"
パレスホテル東京,東京都・丸の内／大手町地下通路直結 [全284室],4.75- 最高（234件）,クラブデラックスツイン with バルコニー（禁煙）,ツイン 45平米,ポイント23%分利用+割引で,"180,896円～朝食付 2名税込 121,201円～"
